,0,1,2,1
0,剛性,FIT:3,,4
1,圧倒的,FIT:3,,4
2,上,FIT:3,,4
3,良い,FIT:3,,4
4,多い,FIT:3,,4
5,甘い,FIT:3,,4
6,渋滞,FIT:3,,4
7,高,FIT:3,,4
8,可,☆:ない,,3
9,不可,☆:ない,,3
10,上,☆:ない,,3
11,剛性,エンジン:掛かる,,3
12,圧倒的,エンジン:掛かる,,3
13,上,エンジン:掛かる,,3
14,良い,エンジン:掛かる,,3
15,多い,エンジン:掛かる,,3
16,甘い,エンジン:掛かる,,3
17,渋滞,エンジン:掛かる,,3
18,高,エンジン:掛かる,,3
19,ステータス,ステータス:振る,,2
20,ステータス,前記:ステータス,,2
21,ステータス,足回り:固め,,2
22,ステータス,でこぼこ:機,,2
23,ステータス,発見:機,,2
24,ステータス,初代:box,,2
25,ステータス,N:box,,2
26,ステータス,軽:比較,,2
27,ステータス,マイルド:乗り心地,,2
28,ステータス,車高:低い,,2
29,ステータス,狭い:苦しい,,2
30,ステータス,1人:二人乗り,,2
31,ステータス,or:二人乗り,,2
32,ステータス,問題:ない,,2
33,ステータス,人:乗せる,,2
34,ステータス,乗せる:フィット,,2
35,ステータス,思う:こと,,2
36,ステータス,こと:ある,,2
37,悪い,音:たち,,2
38,普通,音:たち,,2
39,良い,お金:かける,,2
40,良い,突き上げ:少ない,,2
41,良い,・:普通,,2
42,良い,普通:意味,,2
43,良い,良い:意味,,2
44,良い,・:意味,,2
45,硬め,荒れる:路面,,2
46,オススメ,荒れる:路面,,2
47,固め,私:なる,,1
48,マイルド,ステータス:振る,,1
49,マイルド,前記:ステータス,,1
50,マイルド,足回り:固め,,1
51,マイルド,でこぼこ:機,,1
52,マイルド,発見:機,,1
53,マイルド,初代:box,,1
54,マイルド,N:box,,1
55,マイルド,軽:比較,,1
56,マイルド,マイルド:乗り心地,,1
57,マイルド,車高:低い,,1
58,マイルド,狭い:苦しい,,1
59,マイルド,1人:二人乗り,,1
60,マイルド,or:二人乗り,,1
61,マイルド,問題:ない,,1
62,マイルド,人:乗せる,,1
63,マイルド,乗せる:フィット,,1
64,マイルド,思う:こと,,1
65,マイルド,こと:ある,,1
66,低い,ステータス:振る,,1
67,低い,前記:ステータス,,1
68,低い,足回り:固め,,1
69,低い,でこぼこ:機,,1
70,低い,発見:機,,1
71,低い,初代:box,,1
72,低い,N:box,,1
73,低い,軽:比較,,1
74,低い,マイルド:乗り心地,,1
75,低い,車高:低い,,1
76,低い,狭い:苦しい,,1
77,低い,1人:二人乗り,,1
78,低い,or:二人乗り,,1
79,低い,問題:ない,,1
80,低い,人:乗せる,,1
81,低い,乗せる:フィット,,1
82,低い,思う:こと,,1
83,低い,こと:ある,,1
84,フィット,ステータス:振る,,1
85,フィット,前記:ステータス,,1
86,フィット,足回り:固め,,1
87,フィット,でこぼこ:機,,1
88,フィット,発見:機,,1
89,フィット,初代:box,,1
90,フィット,N:box,,1
91,フィット,軽:比較,,1
92,フィット,マイルド:乗り心地,,1
93,フィット,車高:低い,,1
94,フィット,狭い:苦しい,,1
95,フィット,1人:二人乗り,,1
96,フィット,or:二人乗り,,1
97,フィット,問題:ない,,1
98,フィット,人:乗せる,,1
99,フィット,乗せる:フィット,,1
100,フィット,思う:こと,,1
101,フィット,こと:ある,,1
102,良い,低速:域,,1
103,良い,域:感じ,,1
104,良い,良い:感じ,,1
105,良い,高速:域,,1
106,良い,安定感:欲しい,,1
107,良い,良い:はず,,1
108,良い,はず:ある,,1
109,良い,こと:走る,,1
110,良く,高速:良い,,1
111,良く,後ろ:×,,1
